Pref,All,normal,Cinema_Complex,Degital_equip,3D_equip
全国,"3,583","418","3,165","3,518","1,230"
東京,392,79,313,385,140
神奈川,193,17,176,190,71
千葉,220,6,214,219,68
埼玉,209,5,204,209,74
群馬,52,5,47,51,15
栃木,65,5,60,65,20
茨城,90,6,84,89,28
新潟,62,1,61,62,24
長野,72,19,53,70,25
山梨,13,4,9,12,4
静岡,106,5,101,104,38
福島,32,14,18,32,14
宮城,78,6,72,78,26
岩手,23,9,14,23,10
青森,44,6,38,41,18
秋田,19,1,18,19,6
山形,56,4,52,56,20
愛知,281,18,263,276,95
岐阜,56,6,50,54,17
富山,26,0,26,26,8
石川,61,2,59,60,24
福井,27,10,17,27,13
三重,63,4,59,60,21
大阪,224,19,205,216,74
京都,80,16,64,78,25
兵庫,122,29,93,118,47
滋賀,38,4,34,38,15
奈良,34,0,34,34,14
和歌山,30,10,20,30,8
岡山,39,8,31,38,13
広島,79,11,68,79,30
鳥取,11,5,6,11,4
島根,15,0,15,15,7
山口,31,2,29,30,8
徳島,19,2,17,19,10
香川,26,3,23,24,10
愛媛,53,3,50,52,16
高知,10,1,9,10,3
福岡,174,16,158,170,55
佐賀,21,3,18,20,5
長崎,25,1,24,25,10
熊本,58,5,53,57,18
大分,36,6,30,32,9
宮崎,18,9,9,17,6
鹿児島,39,3,36,39,14
北海道,108,21,87,106,37
沖縄,53,9,44,52,13
